

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
095.726  000.074  000.074: require('project_nvim.utils.globtopattern')
095.833  000.089  000.089: require('project_nvim.project')
096.095  000.078  000.078: require('telescope._extensions')
096.097  000.188  000.110: require('telescope')
096.299  000.037  000.037: require('plenary.functional')
096.302  000.107  000.070: require('plenary.job')
096.604  000.056  000.056: require('plenary.bit')
096.614  000.133  000.077: require('plenary.path')
096.618  000.181  000.048: require('plenary.strings')
096.653  000.034  000.034: require('telescope.state')
096.694  000.038  000.038: require('telescope.config.resolve')
096.695  000.314  000.061: require('telescope.pickers.entry_display')
096.824  000.054  000.054: require('plenary.log')
096.831  000.091  000.037: require('telescope.log')
096.835  000.139  000.047: require('telescope.utils')
096.840  000.536  000.083: require('telescope.make_entry')
097.033  000.031  000.031: require('plenary.tbl')
097.055  000.084  000.053: require('plenary.vararg.rotate')
097.056  000.116  000.032: require('plenary.vararg')
097.087  000.030  000.030: require('plenary.errors')
097.089  000.181  000.035: require('plenary.async.async')
097.221  000.031  000.031: require('plenary.async.structs')
097.224  000.069  000.037: require('plenary.async.control')
097.238  000.116  000.047: require('plenary.async.util')
097.239  000.149  000.033: require('plenary.async.tests')
097.240  000.365  000.035: require('plenary.async')
097.242  000.401  000.035: require('telescope.finders.async_static_finder')
097.345  000.029  000.029: require('plenary.class')
097.351  000.071  000.042: require('telescope._')
097.352  000.110  000.038: require('telescope.finders.async_oneshot_finder')
097.389  000.035  000.035: require('telescope.finders.async_job_finder')
097.391  001.242  000.054: require('telescope.finders')
097.528  000.038  000.038: require('plenary.window.border')
097.561  000.032  000.032: require('plenary.window')
097.595  000.032  000.032: require('plenary.popup.utils')
097.596  000.142  000.040: require('plenary.popup')
097.744  000.033  000.033: require('telescope.deprecated')
097.788  000.043  000.043: require('telescope.sorters')
098.581  000.916  000.840: require('telescope.config')
098.629  000.045  000.045: require('telescope.pickers.scroller')
098.667  000.037  000.037: require('telescope.actions.state')
098.703  000.034  000.034: require('telescope.actions.utils')
098.779  000.036  000.036: require('telescope.actions.mt')
098.785  000.082  000.046: require('telescope.actions.set')
098.819  000.032  000.032: require('telescope.from_entry')
098.902  001.305  000.159: require('telescope.actions')
098.942  000.037  000.037: require('telescope.debounce')
098.998  000.055  000.055: require('telescope.mappings')
099.040  000.040  000.040: require('telescope.pickers.highlights')
099.076  000.034  000.034: require('telescope.pickers.window')
099.147  000.036  000.036: require('telescope.algos.linked_list')
099.149  000.072  000.036: require('telescope.entry_manager')
099.182  000.032  000.032: require('telescope.pickers.multi')
099.190  001.798  000.081: require('telescope.pickers')
099.293  000.049  000.049: require('telescope.builtin.__lsp')
099.302  000.110  000.061: require('telescope.builtin')
099.307  003.208  000.058: require('telescope._extensions.projects')
099.316  003.971  000.193: require('mfaris.plugin-config.project')
